Performance Code,AIdent,Start Day,End Day,Pay Rate,Bill Rate,Margin
Complete,208880,11/17/2017,1/5/2018,9.5,13.97,4.47
Complete,223808,1/29/2018,1/30/2018,9.5,13.97,4.47
Open,209067,10/29/2017,,9.5,13.88,4.38
Complete,222242,12/10/2017,12/28/2017,9.5,13.88,4.38
Open,222242,1/21/2018,,9.5,13.88,4.38
Open,223949,1/28/2018,,9.5,13.88,4.38
A Quit - Stopped Showing / No Notice,184293,1/17/2018,1/19/2018,9.5,13.78,4.28
Assignment Terminated - Violation of Rules,187086,11/22/2017,12/8/2017,9.5,13.78,4.28
Complete,209455,11/10/2017,11/22/2017,9.5,13.78,4.28
A Quit - Stopped Showing / No Notice,210415,11/19/2017,11/22/2017,9.5,13.78,4.28
Complete,221951,12/7/2017,12/14/2017,9.5,13.78,4.28
No Show/No Call,223686,1/22/2018,1/22/2018,9.5,13.78,4.28
A Quit - Stopped Showing / No Notice,184576,8/9/2017,8/16/2017,9.5,13.59,4.09
No Show/No Call,185015,8/21/2017,8/21/2017,9.5,13.59,4.09
Assignment Terminated - Attendance,185109,8/23/2017,8/30/2017,9.5,13.59,4.09
Assignment Terminated - No Call / No Show,208455,10/25/2017,10/25/2017,9.5,13.59,4.09
Complete,184430,8/8/2017,8/21/2017,9.5,13.49,3.99
Complete,184431,8/8/2017,8/20/2017,9.5,13.49,3.99
Complete,184431,8/14/2017,8/14/2017,9.5,13.49,3.99
Assignment Terminated - No Reason Given,184523,8/10/2017,8/10/2017,9.5,13.49,3.99
Assignment Terminated - Laid Off,210284,11/20/2017,1/12/2018,9.5,13.4,3.9
Assignment Terminated - Attendance,185546,8/29/2017,8/29/2017,9.5,13.3,3.8
A Quit - Stopped Showing / No Notice,184682,8/14/2017,8/21/2017,9.5,13.21,3.71
Complete,186845,10/3/2017,10/10/2017,9.5,13.21,3.71
Assignment Terminated - Violation of Rules,207597,10/16/2017,10/19/2017,9.5,13.21,3.71
Rate Change,208157,10/25/2017,11/12/2017,9.5,13.21,3.71
Rate Change,208312,10/24/2017,11/12/2017,9.5,13.21,3.71
Rate Change,209442,11/7/2017,11/12/2017,9.5,13.21,3.71
A Quit - Stopped Showing / No Notice,185431,8/29/2017,9/1/2017,9.5,13.02,3.52
A Quit - Stopped Showing / No Notice,207501,10/23/2017,10/23/2017,9.5,13.02,3.52
Open,208050,11/2/2017,,9.5,13.02,3.52
Assignment Terminated - Attendance,184768,10/4/2017,11/15/2017,9.5,12.83,3.33
Assignment Terminated - No Reason Given,185290,2/7/2018,2/8/2018,9.5,12.83,3.33
Assignment Terminated - Attendance,185405,10/20/2017,10/30/2017,9.5,12.83,3.33
Assignment Terminated - Attendance,185594,10/13/2017,10/20/2017,9.5,12.83,3.33
Assignment Terminated - No Reason Given,186074,11/9/2017,11/21/2017,9.5,12.83,3.33
Open,207309,1/25/2018,,9.5,12.83,3.33
Assignment Terminated - Attendance,207351,10/5/2017,11/2/2017,9.5,12.83,3.33
Assignment Terminated - No Reason Given,207436,10/6/2017,11/29/2017,9.5,12.83,3.33
Assignment Terminated - Laid Off,207623,10/11/2017,12/4/2017,9.5,12.83,3.33
Assignment Terminated - Violation of Rules,207759,10/12/2017,10/12/2017,9.5,12.83,3.33
Assignment Terminated - Violation of Rules,207787,10/18/2017,10/24/2017,9.5,12.83,3.33
Assignment Terminated - Laid Off,208364,10/25/2017,12/4/2017,9.5,12.83,3.33
A Quit - Resigned with Notice,208510,10/30/2017,11/16/2017,9.5,12.83,3.33
Assignment Terminated - No Call / No Show,208929,1/29/2018,2/8/2018,9.5,12.83,3.33
Assignment Terminated - Violation of Rules,209464,1/10/2018,1/11/2018,9.5,12.83,3.33
Assignment Terminated - Laid Off,209954,11/13/2017,11/28/2017,9.5,12.83,3.33
A Quit - Resigned with Notice,210280,1/10/2018,1/10/2018,9.5,12.83,3.33
A Quit - Resigned with Notice,210582,1/15/2018,1/19/2018,9.5,12.83,3.33
Assignment Terminated - Violation of Rules,220797,2/1/2018,2/8/2018,9.5,12.83,3.33
Assignment Terminated - No Call / No Show,221745,2/7/2018,2/12/2018,9.5,12.83,3.33
A Quit - Resigned with Notice,222889,1/16/2018,1/18/2018,9.5,12.83,3.33
A Quit - Resigned with Notice,223481,1/15/2018,1/16/2018,9.5,12.83,3.33
Open,223649,1/16/2018,,9.5,12.83,3.33
Assignment Terminated - No Reason Given,223748,2/6/2018,2/15/2018,9.5,12.83,3.33
Open,223779,1/16/2018,,9.5,12.83,3.33
A Quit - Resigned with Notice,223788,1/16/2018,1/23/2018,9.5,12.83,3.33
Released - Not a good fit,223823,1/17/2018,1/18/2018,9.5,12.83,3.33
Assignment Terminated - Poor Production,223835,1/22/2018,1/24/2018,9.5,12.83,3.33
Assignment Terminated - Poor Production,223836,1/22/2018,1/24/2018,9.5,12.83,3.33
Assignment Terminated - Poor Production,223838,1/17/2018,1/23/2018,9.5,12.83,3.33
Assignment Terminated - Poor Production,223841,1/22/2018,1/24/2018,9.5,12.83,3.33
Assignment Terminated - Walk Off Job,224019,1/22/2018,1/23/2018,9.5,12.83,3.33
Assignment Terminated - No Reason Given,224237,1/24/2018,1/30/2018,9.5,12.83,3.33
Assignment Terminated - Violation of Rules,224790,2/6/2018,2/8/2018,9.5,12.83,3.33
Assignment Terminated - No Call / No Show,224952,2/12/2018,2/13/2018,9.5,12.83,3.33
Assignment Terminated - Poor Production,225057,2/13/2018,2/13/2018,9.5,12.83,3.33
Open,225163,2/14/2018,,9.5,12.83,3.33
Open,225227,2/15/2018,,9.5,12.83,3.33
Assignment Terminated - Attendance,184147,8/2/2017,8/8/2017,9.5,12.64,3.14
A Quit - Stopped Showing / No Notice,185343,9/13/2017,9/13/2017,9.5,12.64,3.14
A Quit - Stopped Showing / No Notice,185344,9/13/2017,9/13/2017,9.5,12.64,3.14
A Quit - Stopped Showing / No Notice,185730,9/13/2017,9/13/2017,9.5,12.64,3.14
A Quit - Stopped Showing / No Notice,207392,10/5/2017,10/13/2017,9.5,12.64,3.14
A Quit - Stopped Showing / No Notice,184291,8/31/2017,8/31/2017,9.5,12.54,3.04
A Quit - Resigned with Notice,184733,8/17/2017,9/23/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,184866,10/3/2017,10/21/2017,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,185029,8/18/2017,9/11/2017,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,185238,8/23/2017,8/31/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,185834,9/5/2017,11/10/2017,9.5,12.54,3.04
Assignment Terminated - Laid Off,186032,10/26/2017,11/3/2017,9.5,12.54,3.04
Assignment Terminated - No Reason Given,186085,9/11/2017,10/5/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,186124,9/14/2017,11/29/2017,9.5,12.54,3.04
Open,186161,10/4/2017,,9.5,12.54,3.04
Assignment Terminated - Attendance,186184,9/12/2017,11/3/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,186275,9/14/2017,11/9/2017,9.5,12.54,3.04
Assignment Terminated - Violation of Rules,186341,9/14/2017,1/2/2018,9.5,12.54,3.04
Assignment Terminated - No Reason Given,186371,9/15/2017,9/28/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,186863,9/26/2017,10/5/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,186938,10/3/2017,10/18/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,187068,9/29/2017,11/18/2017,9.5,12.54,3.04
Open,187085,9/29/2017,,9.5,12.54,3.04
Open,207261,2/8/2018,,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,207263,10/17/2017,10/20/2017,9.5,12.54,3.04
Assignment Terminated - Violation of Rules,207371,10/5/2017,11/7/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,207615,10/10/2017,10/13/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,207654,10/11/2017,11/30/2017,9.5,12.54,3.04
Open,207680,10/11/2017,,9.5,12.54,3.04
Open,207948,1/3/2018,,9.5,12.54,3.04
Open,207948,1/3/2018,,9.5,12.54,3.04
Open,208156,10/19/2017,,9.5,12.54,3.04
Deleted/Mistakenly entered,208209,10/25/2017,10/25/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,208225,10/20/2017,11/22/2017,9.5,12.54,3.04
A Quit - Resigned with Notice,208301,10/25/2017,12/11/2017,9.5,12.54,3.04
Assignment Terminated - Laid Off,208392,10/26/2017,11/3/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,208598,10/26/2017,12/11/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,208701,11/7/2017,1/3/2018,9.5,12.54,3.04
Assignment Terminated - Attendance,208701,11/7/2017,1/3/2018,9.5,12.54,3.04
Assignment Terminated - Attendance,208923,10/31/2017,11/3/2017,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,208990,11/1/2017,11/16/2017,9.5,12.54,3.04
Rate Change,209331,12/4/2017,1/5/2018,9.5,12.54,3.04
Assignment Terminated - Attendance,209574,11/8/2017,12/8/2017,9.5,12.54,3.04
Assignment Terminated - No Reason Given,209589,11/7/2017,11/9/2017,9.5,12.54,3.04
Open,209698,11/21/2017,,9.5,12.54,3.04
Assignment Terminated - Attendance,209753,11/9/2017,1/11/2018,9.5,12.54,3.04
Assignment Terminated - Attendance,209845,11/10/2017,12/13/2017,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,209891,11/10/2017,11/10/2017,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,209958,11/13/2017,11/22/2017,9.5,12.54,3.04
Rate Change,210025,11/16/2017,1/21/2018,9.5,12.54,3.04
Rate Change,210025,11/16/2017,1/21/2018,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,210322,1/17/2018,1/18/2018,9.5,12.54,3.04
Assignment Terminated - Attendance,210513,11/21/2017,1/2/2018,9.5,12.54,3.04
Open,220637,12/5/2017,,9.5,12.54,3.04
Complete,220637,12/5/2017,12/7/2017,9.5,12.54,3.04
Open,220637,12/5/2017,,9.5,12.54,3.04
Assignment Terminated - Violation of Rules,220748,11/21/2017,12/14/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,220840,11/22/2017,1/2/2018,9.5,12.54,3.04
Released - Not a good fit,220916,1/9/2018,1/10/2018,9.5,12.54,3.04
Assignment Terminated - Attendance,221227,11/29/2017,1/26/2018,9.5,12.54,3.04
Open,221296,11/29/2017,,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,221785,12/7/2017,12/12/2017,9.5,12.54,3.04
Assignment Terminated - Attendance,221909,12/8/2017,1/10/2018,9.5,12.54,3.04
Assignment Terminated - Violation of Rules,221968,12/14/2017,2/2/2018,9.5,12.54,3.04
Open,222053,12/12/2017,,9.5,12.54,3.04
Assignment Terminated - Violation of Rules,222087,1/10/2018,1/19/2018,9.5,12.54,3.04
Open,222294,1/19/2018,,9.5,12.54,3.04
Open,222294,1/19/2018,,9.5,12.54,3.04
Open,222345,1/8/2018,,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,222426,1/2/2018,1/8/2018,9.5,12.54,3.04
Open,222495,12/22/2017,,9.5,12.54,3.04
Assignment Terminated - Walk Off Job,222501,12/20/2017,12/20/2017,9.5,12.54,3.04
Assignment Terminated - Walk Off Job,222657,1/3/2018,1/3/2018,9.5,12.54,3.04
Open,222676,12/27/2017,,9.5,12.54,3.04
Assignment Terminated - Attendance,222710,1/17/2018,1/26/2018,9.5,12.54,3.04
Open,222716,2/12/2018,,9.5,12.54,3.04
Assignment Terminated - Violation of Rules,222758,1/2/2018,1/19/2018,9.5,12.54,3.04
Open,222966,2/19/2018,,9.5,12.54,3.04
Open,222966,2/19/2018,,9.5,12.54,3.04
Complete,223008,1/5/2018,1/11/2018,9.5,12.54,3.04
Open,223057,1/23/2018,,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,223137,1/5/2018,1/26/2018,9.5,12.54,3.04
Assignment Terminated - Violation of Rules,223151,1/5/2018,1/25/2018,9.5,12.54,3.04
Rate Change,223282,1/22/2018,12/11/2018,9.5,12.54,3.04
Open,223397,1/9/2018,,9.5,12.54,3.04
Open,223401,1/9/2018,,9.5,12.54,3.04
A Quit - Resigned due to pay rate,223452,1/15/2018,1/17/2018,9.5,12.54,3.04
Deleted/Mistakenly entered,223501,1/11/2018,1/11/2018,9.5,12.54,3.04
Open,223811,1/17/2018,,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,224205,1/26/2018,2/2/2018,9.5,12.54,3.04
Open,224275,1/25/2018,,9.5,12.54,3.04
Assignment Terminated - Walk Off Job,224508,2/2/2018,2/2/2018,9.5,12.54,3.04
Open,224580,2/13/2018,,9.5,12.54,3.04
Open,224943,2/12/2018,,9.5,12.54,3.04
Open,224943,2/12/2018,,9.5,12.54,3.04
A Quit - Stopped Showing / No Notice,225007,2/9/2018,2/9/2018,9.5,12.54,3.04
Assignment Terminated - Attendance,186771,10/9/2017,10/19/2017,9.5,12.35,2.85
Assignment Terminated - No Call / No Show,186865,9/27/2017,10/19/2017,9.5,12.35,2.85
Hired Perm,184202,9/11/2017,10/23/2017,9.5,12.16,2.66
A Quit - Resigned with Notice,184259,9/11/2017,9/21/2017,9.5,12.16,2.66
A Quit - Resigned with Notice,184948,9/18/2017,10/30/2017,9.5,12.16,2.66
Assignment Terminated - Attendance,185118,9/25/2017,10/22/2017,9.5,12.16,2.66
Rate Change,186074,10/30/2017,11/5/2017,9.5,12.16,2.66
Assignment Terminated - Violation of Rules,186149,1/15/2018,1/17/2018,9.5,12.16,2.66
Rate Change,186866,10/30/2017,11/5/2017,9.5,12.16,2.66
Open,186866,1/1/2018,,9.5,12.16,2.66
Rate Change,186917,10/30/2017,11/5/2017,9.5,12.16,2.66
A Quit - Stopped Showing / No Notice,187038,10/20/2017,10/20/2017,9.5,12.16,2.66
Rate Change,207495,1/15/2018,2/3/2018,9.5,12.16,2.66
Assignment Terminated - Attendance,207495,2/3/2018,2/3/2018,9.5,12.16,2.66
Rate Change,207787,11/5/2017,11/5/2017,9.5,12.16,2.66
Rate Change,207787,11/3/2017,12/10/2017,9.5,12.16,2.66
Rate Change,208168,10/26/2017,11/5/2017,9.5,12.16,2.66
Rate Change,208168,10/26/2017,11/5/2017,9.5,12.16,2.66
Rate Change,208168,10/26/2017,11/5/2017,9.5,12.16,2.66
Assignment Terminated - No Call / No Show,208173,2/1/2018,2/1/2018,9.5,12.16,2.66
Assignment Terminated - No Call / No Show,208529,11/8/2017,11/13/2017,9.5,12.16,2.66
Assignment Terminated - No Call / No Show,209189,11/6/2017,11/10/2017,9.5,12.16,2.66
A Quit - Resigned with Notice,209475,11/8/2017,11/17/2017,9.5,12.16,2.66
Assignment Terminated - No Call / No Show,210158,11/30/2017,12/1/2017,9.5,12.16,2.66
Assignment Terminated - No Call / No Show,210520,12/5/2017,12/15/2017,9.5,12.16,2.66
Rate Change,210602,11/21/2017,12/3/2017,9.5,12.16,2.66
Rate Change,210602,12/4/2017,12/24/2017,9.5,12.16,2.66
Rate Change,210603,11/21/2017,12/3/2017,9.5,12.16,2.66
Rate Change,210603,12/4/2017,12/24/2017,9.5,12.16,2.66
A Quit - Stopped Showing / No Notice,221474,12/3/2017,12/7/2017,9.5,12.16,2.66
Rate Change,222446,1/8/2018,1/8/2018,9.5,12.16,2.66
Rate Change,222446,1/17/2018,2/11/2018,9.5,12.16,2.66
Rate Change,223089,1/8/2018,1/8/2018,9.5,12.16,2.66
Rate Change,223089,1/17/2018,2/11/2018,9.5,12.16,2.66
A Quit - Resigned with Notice,224453,2/1/2018,2/5/2018,9.5,12.16,2.66
Assignment Terminated - No Call / No Show,224540,1/31/2018,1/31/2018,9.5,12.16,2.66
Rate Change,224989,2/12/2018,2/12/2018,9.5,12.16,2.66
Open,224989,2/12/2018,,9.5,12.16,2.66
Assignment Terminated - Violation of Rules,224995,2/12/2018,2/18/2018,9.5,12.16,2.66
Open,225011,2/13/2018,,9.5,12.16,2.66
Open,225317,2/19/2018,,9.5,12.16,2.66
Open,210025,1/22/2018,,9.5,12.07,2.57
Open,210025,1/22/2018,,9.5,12.07,2.57
Open,221203,12/26/2017,,9.5,12.07,2.57
Open,221203,12/26/2017,,9.5,12.07,2.57
Assignment Terminated - Attendance,186914,11/21/2017,11/24/2017,9.59,13.23,3.64
A Quit - Stopped Showing / No Notice,187100,10/16/2017,10/18/2017,9.59,13.23,3.64
Assignment Terminated - Poor Production,209135,11/15/2017,12/8/2017,9.59,13.14,3.55
Assignment Terminated - Attendance,222124,12/14/2017,1/18/2018,9.59,13.14,3.55
A Quit - Stopped Showing / No Notice,210068,11/29/2017,12/6/2017,9.72,13.41,3.69
Open,184356,2/12/2018,,9.72,13.02,3.3
Complete,184727,10/9/2017,10/16/2017,9.72,13.02,3.3
Complete,186820,12/11/2017,1/11/2018,9.72,13.02,3.3
Complete,186820,12/11/2017,1/15/2018,9.72,13.02,3.3
Complete,186829,10/2/2017,10/4/2017,9.72,13.02,3.3
Complete,207562,1/22/2018,1/24/2018,9.72,13.02,3.3
Complete,208276,10/20/2017,11/5/2017,9.72,13.02,3.3
Complete,208681,10/27/2017,11/9/2017,9.72,13.02,3.3
Complete,222796,1/8/2018,1/19/2018,9.72,13.02,3.3
Complete,222796,1/17/2018,1/17/2018,9.72,13.02,3.3
Complete,223158,1/8/2018,1/19/2018,9.72,13.02,3.3
Complete,223994,1/23/2018,1/25/2018,9.72,13.02,3.3
Complete,224544,1/31/2018,2/6/2018,9.72,13.02,3.3
Open,224545,1/31/2018,,9.72,13.02,3.3
Open,225046,2/15/2018,,9.72,13.02,3.3
Assignment Terminated - Attendance,220873,12/6/2017,1/2/2018,9.74,13.34,3.6
Open,208226,2/12/2018,,9.74,13.05,3.31
A Quit - Stopped Showing / No Notice,184329,8/14/2017,8/31/2017,9.75,13.08,3.33
Complete,208637,12/4/2017,12/22/2017,9.75,13.08,3.33
Assignment Terminated - Attendance,184139,8/3/2017,8/11/2017,9.75,12.97,3.22
Assignment Terminated - Attendance,184386,8/28/2017,8/30/2017,9.75,12.97,3.22
Rate Change,184968,10/2/2017,11/12/2017,9.75,12.97,3.22
A Quit - Stopped Showing / No Notice,185330,8/28/2017,8/31/2017,9.75,12.97,3.22
A Quit - Stopped Showing / No Notice,186289,10/2/2017,10/12/2017,9.75,12.97,3.22
Assignment Terminated - Attendance,186448,9/25/2017,9/28/2017,9.75,12.97,3.22
Assignment Terminated - Poor Production,186504,9/25/2017,9/29/2017,9.75,12.97,3.22
A Quit - Stopped Showing / No Notice,186776,10/3/2017,10/12/2017,9.75,12.97,3.22
Assignment Terminated - Attendance,187171,10/2/2017,10/13/2017,9.75,12.97,3.22
A Quit - Stopped Showing / No Notice,187172,10/2/2017,10/12/2017,9.75,12.97,3.22
Assignment Terminated - Walk Off Job,207358,10/5/2017,10/5/2017,9.75,12.97,3.22
Open,184163,7/25/2017,,9.75,12.87,3.12
Assignment Terminated - Poor Production,184172,7/25/2017,8/22/2017,9.75,12.87,3.12
Rate Change,184294,8/7/2017,8/7/2017,9.75,12.87,3.12
Assignment Terminated - No Call / No Show,184294,8/7/2017,11/6/2017,9.75,12.87,3.12
Rate Change,184380,8/7/2017,8/7/2017,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,184380,8/7/2017,9/15/2017,9.75,12.87,3.12
Rate Change,184380,8/30/2017,9/3/2017,9.75,12.87,3.12
Rate Change,184614,8/15/2017,9/10/2017,9.75,12.87,3.12
Assignment Terminated - Poor Production,184614,9/11/2017,10/24/2017,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,184623,8/24/2017,8/24/2017,9.75,12.87,3.12
Released - Not a good fit,184768,8/15/2017,8/15/2017,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,184794,8/15/2017,9/15/2017,9.75,12.87,3.12
Open,184845,8/16/2017,,9.75,12.87,3.12
Rate Change,184899,8/16/2017,8/27/2017,9.75,12.87,3.12
A Quit - Resigned with Notice,184899,8/16/2017,9/14/2017,9.75,12.87,3.12
Rate Change,184904,8/16/2017,8/27/2017,9.75,12.87,3.12
A Quit - Resigned with Notice,184904,8/16/2017,11/2/2017,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,185024,8/21/2017,9/8/2017,9.75,12.87,3.12
Deleted/Mistakenly entered,185090,8/28/2017,8/28/2017,9.75,12.87,3.12
Rate Change,185090,8/28/2017,9/10/2017,9.75,12.87,3.12
Rate Change,185090,9/11/2017,9/16/2017,9.75,12.87,3.12
Open,185090,10/16/2017,,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,185092,8/22/2017,8/30/2017,9.75,12.87,3.12
A Quit - Resigned with Notice,185187,8/22/2017,8/23/2017,9.75,12.87,3.12
Deleted/Mistakenly entered,185290,8/28/2017,8/28/2017,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,185290,8/28/2017,9/15/2017,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,185290,9/11/2017,9/15/2017,9.75,12.87,3.12
Deleted/Mistakenly entered,185435,8/28/2017,8/28/2017,9.75,12.87,3.12
Rate Change,185435,8/28/2017,9/10/2017,9.75,12.87,3.12
Open,185435,9/11/2017,,9.75,12.87,3.12
Deleted/Mistakenly entered,185606,8/31/2017,8/31/2017,9.75,12.87,3.12
Assignment Terminated - No Reason Given,185606,8/31/2017,9/11/2017,9.75,12.87,3.12
Assignment Terminated - No Reason Given,185606,9/11/2017,9/11/2017,9.75,12.87,3.12
Deleted/Mistakenly entered,185608,8/31/2017,8/31/2017,9.75,12.87,3.12
Rate Change,185608,8/31/2017,9/10/2017,9.75,12.87,3.12
Assignment Terminated - No Call / No Show,185608,9/11/2017,11/3/2017,9.75,12.87,3.12
Deleted/Mistakenly entered,185609,8/31/2017,8/31/2017,9.75,12.87,3.12
Rate Change,185674,9/6/2017,9/10/2017,9.75,12.87,3.12
Open,185674,9/6/2017,,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,185726,9/5/2017,9/15/2017,9.75,12.87,3.12
Deleted/Mistakenly entered,185727,9/1/2017,9/1/2017,9.75,12.87,3.12
A Quit - Resigned with Notice,185727,9/5/2017,12/5/2017,9.75,12.87,3.12
Assignment Terminated - Attendance,186046,8/31/2017,10/13/2017,9.75,12.87,3.12
Deleted/Mistakenly entered,186293,9/1/2017,9/1/2017,9.75,12.87,3.12
Rate Change,186293,9/14/2014,1/7/2018,9.75,12.87,3.12
Open,186293,1/8/2018,,9.75,12.87,3.12
Assignment Terminated - Attendance,186471,11/8/2017,11/15/2017,9.75,12.87,3.12
Open,207442,2/7/2018,,9.75,12.87,3.12
Assignment Terminated - Attendance,207489,2/1/2018,2/2/2018,9.75,12.87,3.12
Assignment Terminated - Walk Off Job,207806,10/16/2017,10/16/2017,9.75,12.87,3.12
Open,208224,12/14/2017,,9.75,12.87,3.12
Assignment Terminated - Attendance,208296,10/24/2017,10/31/2017,9.75,12.87,3.12
Assignment Terminated - No Call / No Show,208317,10/24/2017,10/27/2017,9.75,12.87,3.12
Assignment Terminated - Poor Production,208346,11/1/2017,11/9/2017,9.75,12.87,3.12
A Quit - Resigned with Notice,208364,1/4/2018,1/15/2018,9.75,12.87,3.12
A Quit - Resigned with Notice,208648,10/30/2017,11/1/2017,9.75,12.87,3.12
Assignment Terminated - Walk Off Job,208883,11/2/2017,1/19/2018,9.75,12.87,3.12
A Quit - Resigned with Notice,209027,11/6/2017,12/15/2017,9.75,12.87,3.12
Open,209123,11/2/2017,,9.75,12.87,3.12
Assignment Terminated - No Call / No Show,209126,11/8/2017,11/21/2017,9.75,12.87,3.12
Assignment Terminated - Poor Production,209253,11/8/2017,1/5/2018,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,209278,11/8/2017,11/17/2017,9.75,12.87,3.12
Open,209911,2/12/2018,,9.75,12.87,3.12
Assignment Terminated - Poor Production,210237,1/3/2018,1/24/2018,9.75,12.87,3.12
Complete,210570,11/20/2017,1/2/2018,9.75,12.87,3.12
Open,220983,11/27/2017,,9.75,12.87,3.12
Assignment Terminated - No Call / No Show,221041,12/28/2017,12/29/2017,9.75,12.87,3.12
Open,221110,2/15/2018,,9.75,12.87,3.12
Rate Change,221121,2/1/2018,2/1/2018,9.75,12.87,3.12
Open,221215,12/13/2017,,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,221302,12/1/2017,12/22/2017,9.75,12.87,3.12
Assignment Terminated - Attendance,221494,12/4/2017,12/29/2017,9.75,12.87,3.12
Rate Change,221596,12/8/2017,12/17/2017,9.75,12.87,3.12
Assignment Terminated - Poor Production,221596,12/17/2017,2/2/2018,9.75,12.87,3.12
Rate Change,221688,12/8/2017,2/18/2018,9.75,12.87,3.12
Open,222559,1/11/2018,,9.75,12.87,3.12
Open,222775,1/3/2018,,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,223059,1/8/2018,2/9/2018,9.75,12.87,3.12
Open,223159,1/11/2018,,9.75,12.87,3.12
Assignment Terminated - No Call / No Show,223441,1/11/2018,1/23/2018,9.75,12.87,3.12
Open,223858,1/19/2018,,9.75,12.87,3.12
Open,224191,2/2/2018,,9.75,12.87,3.12
Assignment Terminated - Attendance,224727,2/2/2018,2/6/2018,9.75,12.87,3.12
A Quit - Resigned with Notice,224738,2/5/2018,2/8/2018,9.75,12.87,3.12
Open,224897,2/8/2018,,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,225090,2/13/2018,2/13/2018,9.75,12.87,3.12
A Quit - Stopped Showing / No Notice,225091,2/13/2018,2/13/2018,9.75,12.87,3.12
Open,225278,2/16/2018,,9.75,12.87,3.12
Assignment Terminated - Violation of Rules,207787,12/11/2017,12/28/2017,9.75,12.48,2.73
Rate Change,210602,12/25/2017,12/25/2017,9.75,12.48,2.73
Rate Change,210603,12/25/2017,12/25/2017,9.75,12.48,2.73
A Quit - Resigned with Notice,222446,1/8/2018,2/7/2018,9.75,12.48,2.73
Open,223089,2/12/2018,,9.75,12.48,2.73
A Quit - Stopped Showing / No Notice,207330,11/6/2017,12/7/2017,9.75,11.7,1.95
A Quit - Stopped Showing / No Notice,185397,11/14/2017,11/17/2017,9.77,13.48,3.71
Assignment Terminated - Attendance,185997,9/15/2017,11/20/2017,9.77,13.48,3.71
Assignment Terminated - Walk Off Job,186238,10/3/2017,10/3/2017,9.77,13.48,3.71
Assignment Terminated - Walk Off Job,186284,9/21/2017,9/21/2017,9.77,13.48,3.71
A Quit - Accepted Job with Client or Other Company,186422,10/9/2017,1/12/2018,9.77,13.48,3.71
Assignment Terminated - Walk Off Job,186497,9/22/2017,9/22/2017,9.77,13.48,3.71
Assignment Terminated - Walk Off Job,186699,9/28/2017,10/2/2017,9.77,13.48,3.71
Assignment Terminated - No Reason Given,186784,10/4/2017,11/10/2017,9.77,13.48,3.71
Rate Change,186825,10/6/2017,10/18/2017,9.77,13.48,3.71
Deleted/Mistakenly entered,186914,11/21/2017,11/21/2017,9.77,13.48,3.71
Assignment Terminated - No Call / No Show,186998,11/21/2017,11/26/2017,9.77,13.48,3.71
Assignment Terminated - Attendance,187185,10/16/2017,10/18/2017,9.77,13.48,3.71
Assignment Terminated - Walk Off Job,207272,10/16/2017,10/20/2017,9.77,13.48,3.71
Assignment Terminated - No Reason Given,208035,1/4/2018,1/8/2018,9.77,13.48,3.71
Assignment Terminated - No Reason Given,208543,11/8/2017,11/8/2017,9.77,13.48,3.71
A Quit - Stopped Showing / No Notice,210551,1/5/2018,1/10/2018,9.77,13.48,3.71
A Quit - Stopped Showing / No Notice,222067,12/20/2017,12/29/2017,9.77,13.48,3.71
Rate Change,186478,9/25/2017,10/22/2017,9.77,13.38,3.61
Assignment Terminated - Laid Off,185614,11/17/2017,11/18/2017,10,17.2,7.2
